"","AF293.Hypoxia.r1","AF293.Hypoxia.r2","AF293.Hypoxia.r3","Delta_eefA_AF293.Hypoxia.r1","Delta_eefA_AF293.Hypoxia.r2","Delta_eefA_AF293.Hypoxia.r3","eefA_OE.Hypoxia.r1","eefA_OE.Hypoxia.r2","eefA_OE.Hypoxia.r3","eefA_REV.Hypoxia.r1","eefA_REV.Hypoxia.r3","EVOL.Hypoxia.r1","EVOL.Hypoxia.r2","EVOL.Hypoxia.r3"
"Afu1g00310-T",40,9,36,8,12,50,3,11,9,4,17,9,5,6
"Afu1g00320-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g00330-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g00340-T",1,0,0,1,0,1,0,0,0,1,0,0,0,0
"Afu1g00350-T",1,3,2,1,0,6,0,4,0,2,2,0,2,1
"Afu1g00390-T",15,5,4,6,4,10,3,3,4,1,4,2,4,3
"Afu1g00400-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g00410-T",1.87662292254868,2.01431074171445,1.84380470335431,0,0,1.86497361021451,0,0,0,0,0,1.63001199562973,3.71190301880082,0
"Afu1g00420-T",22.1771569402945,4.45954719139906,10.1211833612861,7.45598829387831,1.81598391377088,14.028130173202,8.47246938125779,4.48815689298149,2.82660050356125,1.95750807665971,13.4888951162427,10.2154221626655,5.54816934913018,7.65863012025674
"Afu1g00440-T",54.8967034461926,53.3565479277371,31.9383725877241,65.4065679246347,49.7568448927042,91.4027061279178,85.7626511058384,82.9079532077789,114.004492647898,86.5376813912892,101.402544419764,173.616315744279,153.130367598055,186.727705793624
"Afu1g00450-T",1.99996682662201,1.40995820106765,0,3.05752026144131,2.53026860670125,0,32.1178294225834,12.1083022220825,9.49132709426113,9.67755243615947,26.3200484973057,38.0941519034941,22.2173396763874,69.3560218133129
"Afu1g00460-T",30.8154421067079,6.38471662176909,6.88663404125303,12.1113796747628,13.0437030574387,19.6779209741429,12.3491946527312,20.0224815252404,23.5760864662386,9.32821052872632,10.1078974034408,0,12.866274389908,3.76633999063305
"Afu1g00470-T",136.201992377141,62.5112234533295,85.4422786514801,77.3593922226567,82.3218244157905,152.547679062279,63.3571890358945,102.440096487813,107.337507902612,82.1496705938874,77.7261100843247,32.6657594129888,45.327247229038,29.1527224927654
