"","AF293.Hypoxia.r1","AF293.Hypoxia.r2","AF293.Hypoxia.r3","Delta_eefA_AF293.Hypoxia.r1","Delta_eefA_AF293.Hypoxia.r2","Delta_eefA_AF293.Hypoxia.r3","eefA_OE.Hypoxia.r1","eefA_OE.Hypoxia.r2","eefA_OE.Hypoxia.r3","eefA_REV.Hypoxia.r1","eefA_REV.Hypoxia.r3","EVOL.Hypoxia.r1","EVOL.Hypoxia.r2","EVOL.Hypoxia.r3"
"Afu2g12970-T",509,340,376,462,291,629,221,253,305,346,575,330,230,292
"Afu2g12980-T",1242,597,985,802,337,1284,347,631,557,433,681,487,327,366
"Afu2g12990-T",44,17,22,21,14,43,9,19,18,21,28,24,15,21
"Afu2g13000-T",3192,1894,2177,2689,1970,3823,1776,2229,2083,2084,2900,2401,2099,1772
"Afu2g13010-T",648,262,366,473,415,880,182,237,244,169,321,433,369,272
"Afu2g13020-T",14,8,10,16,16,29,11,17,12,31,43,35,12,21
"Afu2g13025-T",3,1,2,1,1,4,0,0,1,0,3,2,0,0
"Afu2g13030-T",611,330,462,471,238,733,181,270,285,279,360,748,612,443
"Afu2g13040-T",631,328,415,519,309,812,236,370,358,417,512,446,368,237
"Afu2g13050-T",47,36,25,43,35,56,15,7,20,5,26,10,4,4
"Afu2g13060-T",259,112,126,198,110,264,66,111,131,182,330,153,105,120
"Afu2g13070-T",334,128,189,191,164,335,108,135,138,126,192,295,264,240
"Afu2g13080-T",15,11,9,14,10,19,2,14,12,23,27,18,13,19
"Afu2g13090-T",68,21,51,43,23,57,9,23,29,21,49,20,16,22
"Afu2g13100-T",326,219,246,334,269,433,95,127,128,85,167,113,95,85
"Afu2g13110-T",18536,6732,12401,11098,7224,20288,4956,7724,9715,5237,5336,6411,6025,3299
"Afu2g13120-T",446,283,329,370,289,511,152,191,268,250,509,514,477,397
"Afu2g13130-T",49,38,25,32,37,47,7,23,36,32,47,57,38,33
"Afu2g13140-T",2374,1558,1694,2203,1581,3141,2366,2160,2279,1641,2069,1278,979,859
"Afu2g13150-T",110,116,67,259,184,174,337,456,606,515,670,186,116,106
"Afu2g13160-T",428,179,259,235,144,491,281,381,333,153,228,45,21,50
"Afu2g13170-T",155,66,97,84,62,182,31,28,39,34,63,26,27,17
"Afu2g13175-T",460,144,274,252,199,511,95,96,154,138,212,319,336,174
"Afu2g13180-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu2g13190-T",72,7,45,20,16,74,1,0,4,3,10,9,8,8
"Afu2g13200-T",220,77,91,121,80,213,47,84,97,69,110,31,12,8
"Afu2g13210-T",29,13,25,14,18,24,5,20,5,12,22,30,20,25
"Afu2g13230-T",95,51,82,88,50,85,71,100,101,81,111,63,36,54
"Afu2g13240-T",1822,953,1326,1449,819,2260,1070,1386,1283,906,1436,1008,707,679
"Afu2g13250-T",349,211,227,341,184,364,113,185,218,273,363,528,410,369
"Afu2g13260-T",134,60,69,93,58,141,56,109,113,104,238,156,101,106
"Afu2g13265-T",1,0,1,5,1,3,0,1,2,2,5,0,0,1
"Afu2g13270-T",105,31,67,50,25,94,6,15,11,11,23,13,10,11
"Afu2g13280-T",2,0,0,2,0,2,0,1,0,0,1,0,0,0
"Afu2g13290-T",733,366,452,478,313,668,198,411,390,482,726,780,601,612
"Afu2g13295-T",815,409,437,1011,631,899,379,329,534,495,648,1929,1605,987
"Afu2g13300-T",74,29,26,35,28,48,7,6,8,12,26,19,11,31
"Afu2g13310-T",1141,665,709,933,842,1515,578,854,994,614,1044,512,389,353
"Afu2g13320-T",546,239,304,407,253,583,208,339,431,223,373,139,143,101
"Afu2g13330-T",39,11,43,39,30,63,11,28,33,12,36,33,19,12
"Afu2g13340-T",150,59,89,98,84,172,38,49,83,37,96,48,59,41
"Afu2g13350-T",30,7,12,10,11,21,4,6,11,6,3,8,6,7
"Afu2g13360-T",86,25,53,44,19,66,11,16,17,18,27,25,10,21
"Afu2g13370-T",80,25,57,47,26,81,27,86,47,49,137,65,39,56
"Afu2g13380-T",225,94,110,127,101,262,59,91,83,69,94,73,50,51
"Afu2g13390-T",5,4,2,4,3,9,5,2,4,4,3,10,4,3
"Afu2g13400-T",2288,1186,1541,1813,1369,3092,1461,2255,2694,1408,1992,593,478,332
"Afu2g13410-T",268,186,201,257,254,410,294,305,367,135,289,146,101,102
"Afu2g13420-T",25,5,4,8,12,16,3,0,5,6,2,2,3,1
"Afu2g13430-T",8370,4380,5278,6434,4309,9627,2113,3352,3197,2996,4560,2762,2213,1839
"Afu2g13440-T",4029,1653,2654,2570,1390,4253,640,1166,1017,1130,1679,1908,1671,1302
"Afu2g13450-T",101,41,85,48,33,72,20,39,32,66,87,96,81,88
"Afu2g13460-T",417,233,211,317,237,467,104,156,164,184,341,731,609,417
"Afu2g13470-T",125,41,85,75,40,139,48,47,63,60,118,344,291,190
"Afu2g13480-T",125,57,106,74,78,152,41,63,77,81,133,114,62,82
"Afu2g13490-T",674,403,396,552,277,736,316,420,382,527,826,645,453,443
"Afu2g13500-T",439,181,223,396,163,608,29,55,48,96,95,60,45,34
"Afu2g13512-T",691,314,469,501,325,830,172,278,381,200,288,138,97,99
"Afu2g13520-T",702,269,476,423,221,734,192,297,270,232,293,253,176,138
"Afu2g13530-T",13175,7536,8546,10880,6984,14166,6750,10978,7790,10259,13665,12788,9667,9329
"Afu2g13540-T",173,74,119,119,78,184,70,112,113,108,194,82,60,76
"Afu2g13550-T",29,9,15,25,19,30,12,12,33,5,12,5,5,2
"Afu2g13560-T",26,8,16,4,10,15,7,12,15,14,8,7,4,10
"Afu2g13570-T",82,45,35,64,49,67,32,81,96,158,208,134,101,124
"Afu2g13580-T",104,40,67,69,35,104,22,38,36,28,47,53,46,41
"Afu2g13590-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu2g13600-T",332,126,181,194,119,350,151,187,235,161,194,179,154,145
"Afu2g13610-T",125,56,100,108,67,169,74,95,90,40,60,28,24,25
"Afu2g13615-T",163,28,119,34,9,236,4,5,4,15,6,0,0,2
"Afu2g13620-T",190,45,143,60,54,257,15,17,23,22,33,20,15,19
"Afu2g13630-T",372,180,227,342,214,386,297,363,388,385,748,2169,1670,1462
"Afu2g13640-T",25,10,25,19,9,26,7,20,28,21,28,12,8,12
"Afu2g13650-T",27,7,20,15,10,30,9,14,10,8,12,13,10,7
"Afu2g13660-T",38,20,27,26,12,27,3,13,23,11,35,12,19,13
"Afu2g13680-T",959,466,619,777,580,1092,365,563,654,519,1141,716,522,394
"Afu2g13690-T",2418,1364,1609,1884,1796,3466,1517,1689,1863,899,1562,412,369,300
"Afu2g13710-T",907,514,633,699,375,954,396,608,521,449,708,675,386,369
"Afu2g13720-T",33,14,25,19,10,31,13,33,35,80,100,103,65,68
"Afu2g13730-T",143,35,83,61,34,86,18,47,32,18,30,43,33,31
"Afu2g13740-T",155,42,98,62,37,127,29,34,35,31,40,21,18,25
"Afu2g13750-T",124,57,96,113,65,108,49,147,122,71,107,88,50,65
"Afu2g13760-T",110,36,78,50,25,83,13,49,39,48,72,60,31,48
"Afu2g13770-T",7,4,2,7,3,4,4,9,5,11,11,5,4,5
"Afu2g13780-T",1056,440,716,677,516,1075,382,679,539,610,928,507,353,368
"Afu2g13790-T",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Afu2g13800-T",4,1,2,3,1,5,0,0,1,1,2,2,1,2
"Afu2g13810-T",262,62,158,129,90,285,35,37,47,29,55,163,152,108
"Afu2g13820-T",297,115,192,211,138,316,75,103,143,123,207,132,98,100
"Afu2g13830-T",906,357,419,576,369,825,346,532,432,213,369,508,374,360
"Afu2g13840-T",45,29,36,44,57,70,4,8,10,17,45,27,14,18
"Afu2g13850-T",2912,1055,2094,1631,621,3159,213,485,435,521,892,298,202,225
"Afu2g13860-T",1463,636,991,915,726,1794,606,957,1244,864,1337,694,564,523
"Afu2g13870-T",2391,1220,1420,1770,1371,3019,1244,1474,1727,1003,1432,283,185,168
"Afu2g13880-T",741,411,461,630,332,969,282,414,443,277,371,130,71,82
"Afu2g13890-T",837,321,362,542,307,656,350,587,498,307,526,282,159,166
"Afu2g13900-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu2g13910-T",15,5,4,10,4,12,2,2,3,13,7,11,5,5
"Afu2g13920-T",8,4,5,1,3,4,2,4,2,2,1,3,3,4
"Afu2g13930-T",218,75,102,132,144,197,266,379,561,142,288,148,132,88
"Afu2g13940-T",34,18,21,42,27,48,69,98,107,51,134,372,267,269
"Afu2g13950-T",48,10,31,13,14,52,3,5,7,1,8,11,4,3
"Afu2g13960-T",236,90,152,160,113,208,44,79,100,64,113,48,56,36
"Afu2g13970-T",189,110,125,172,116,167,36,53,84,56,121,73,48,47
"Afu2g13980-T",105,67,83,64,69,143,28,56,79,88,150,70,43,66
"Afu2g13985-T",145,72,67,94,86,180,82,83,91,66,96,118,115,77
"Afu2g13990-T",542,184,312,297,274,709,178,232,245,179,264,258,235,206
"Afu2g14000-T",136,54,89,85,35,140,38,51,80,23,59,53,33,46
"Afu2g14010-T",29,9,20,22,12,19,44,54,50,62,66,75,44,43
"Afu2g14020-T",37,14,17,26,21,33,16,16,22,17,19,16,6,10
"Afu2g14030-T",389,173,202,218,147,281,110,281,155,273,377,355,255,269
"Afu2g14040-T",117,51,67,89,73,211,34,46,77,33,57,23,6,9
"Afu2g14060-T",2254,1454,1715,1917,1295,2762,922,927,1021,1155,1802,1409,1179,1081
"Afu2g14070-T",358,164,299,242,146,337,67,62,94,102,194,314,250,208
"Afu2g14080-T",241,93,164,139,73,236,56,118,122,101,173,194,140,127
"Afu2g14090-T",147,48,83,77,76,237,52,121,115,101,172,42,28,46
"Afu2g14100-T",932,456,635,687,831,1392,1321,1622,2107,522,1062,288,292,266
"Afu2g14110-T",6547,3410,4391,5044,4025,9853,8492,10384,10529,3872,5189,1420,1306,1033
"Afu2g14120-T",113,43,72,74,56,186,25,31,48,31,68,70,60,75
"Afu2g14130-T",253,89,169,163,115,279,83,179,159,275,351,185,165,160
"Afu2g14140-T",668,289,312,507,462,838,815,1236,2322,664,1779,164,154,132
"Afu2g14150-T",14,6,10,12,5,18,2,6,2,7,6,3,1,2
"Afu2g14160-T",578,322,389,452,221,664,321,460,439,252,368,218,164,143
"Afu2g14170-T",6,0,0,0,0,3,0,0,0,0,0,0,0,0
"Afu2g14180-T",40,20,24,27,7,26,10,19,10,35,38,18,5,20
"Afu2g14190-T",40,9,28,36,11,45,12,22,27,39,50,44,34,25
"Afu2g14200-T",66,69,65,103,81,96,52,72,113,73,124,67,38,47
"Afu2g14210-T",443,271,340,385,296,593,151,381,390,665,891,454,325,293
"Afu2g14220-T",259,176,176,211,141,279,95,167,200,150,235,165,134,121
"Afu2g14230-T",7,1,10,5,1,9,0,5,0,11,8,0,2,1
"Afu2g14240-T",244,117,198,173,121,309,79,122,174,119,148,108,77,64
"Afu2g14250-T",82,45,57,68,43,131,54,72,74,37,33,25,24,24
"Afu2g14260-T",75,38,54,78,45,97,30,59,49,58,92,81,67,63
"Afu2g14270-T",248,81,177,138,76,219,29,89,72,50,82,62,34,47
"Afu2g14280-T",320,142,239,206,212,281,200,221,287,154,331,494,338,354
"Afu2g14290-T",83,29,52,48,26,84,3,4,6,5,11,8,6,3
"Afu2g14300-T",32,12,29,28,13,60,1,5,7,4,3,2,0,0
"Afu2g14310-T",22,10,12,25,4,42,4,6,5,5,9,12,2,8
"Afu2g14320-T",5,0,4,3,0,4,0,0,0,0,0,0,2,0
"Afu2g14330-T",158,43,143,108,65,215,0,3,3,1,2,0,1,0
"Afu2g14340-T",512,197,363,301,175,542,65,106,130,81,116,67,69,53
"Afu2g14350-T",62,13,57,28,13,60,0,3,1,1,4,5,4,6
"Afu2g14360-T",244,129,197,168,106,380,90,86,77,150,198,108,89,99
"Afu2g14370-T",904,482,717,809,476,1279,332,429,585,439,687,214,161,139
"Afu2g14380-T",140,43,84,92,49,186,28,62,86,29,63,13,1,5
"Afu2g14390-T",110,30,63,63,39,114,11,19,16,6,19,1,3,3
"Afu2g14400-T",36,10,14,20,12,33,14,14,20,11,27,17,14,8
"Afu2g14410-T",18,2,12,14,2,13,4,3,4,5,11,19,5,7
"Afu2g14420-T",68,30,35,32,16,78,23,20,15,24,32,38,36,47
"Afu2g14430-T",281,78,165,114,105,369,57,88,82,92,147,116,90,72
"Afu2g14440-T",67,14,45,17,13,80,3,6,3,5,6,5,6,4
"Afu2g14450-T",123,19,72,33,35,158,5,6,8,26,88,36,23,22
"Afu2g14460-T",1800,351,1100,567,510,2138,125,264,367,742,1816,789,662,381
"Afu2g14470-T",91,23,58,31,20,120,0,6,10,10,47,8,7,13
"Afu2g14480-T",35,3,25,11,2,38,0,0,4,2,7,10,1,4
"Afu2g14490-T",925,204,427,381,300,861,142,256,288,344,435,648,566,499
"Afu2g14497-T",5,3,2,1,2,5,1,5,0,1,3,0,1,1
"Afu2g14510-T",204,73,166,121,50,191,22,68,56,100,108,60,37,34
"Afu2g14520-T",159,77,120,125,131,269,98,111,192,129,265,135,130,137
"Afu2g14525-T",0,0,4,2,1,5,0,0,1,1,1,3,0,0
"Afu2g14530-T",72,29,67,41,48,96,14,19,37,32,63,29,18,10
"Afu2g14540-T",131,59,129,92,79,190,67,69,100,166,316,219,263,202
"Afu2g14547-T",2,0,2,0,0,3,0,2,1,0,1,4,1,0
"Afu2g14560-T",926,423,553,642,493,1023,330,468,483,369,683,483,359,299
"Afu2g14570-T",1489,755,849,1249,938,1679,725,958,1191,1278,1863,1450,1100,957
"Afu2g14580-T",168,75,124,127,88,157,30,61,66,57,96,58,50,59
"Afu2g14590-T",262,119,175,206,167,313,112,179,209,179,295,86,40,88
"Afu2g14600-T",132,61,71,85,49,137,23,51,79,57,98,48,32,35
"Afu2g14610-T",118,48,52,94,52,130,51,69,71,33,70,49,29,28
"Afu2g14620-T",392,151,174,253,141,310,336,648,632,233,512,289,235,180
"Afu2g14630-T",607,210,295,333,345,359,57,76,103,264,325,443,416,468
"Afu2g14640-T",24,5,9,5,4,15,0,0,0,1,4,7,5,6
"Afu2g14650-T",11,4,4,5,0,9,0,0,0,1,4,5,4,7
"Afu2g14655-T",58,6,11,16,10,66,2,0,2,5,11,214,114,125
"Afu2g14661-T",0,0,0,1,1,0,0,0,0,0,0,7,0,0
"Afu2g14670-T",1027,495,534,694,411,910,332,741,550,742,1026,762,545,538
"Afu2g14680-T",500,215,351,411,208,553,579,720,762,683,760,589,539,307
"Afu2g14690-T",274,257,147,401,303,270,209,300,424,264,387,74,63,72
"Afu2g14700-T",61,47,39,64,36,88,16,19,22,9,15,5,4,4
"Afu2g14710-T",730,508,444,795,605,732,469,635,684,433,641,322,255,223
"Afu2g14720-T",334,217,235,316,263,475,326,368,336,290,354,217,195,147
"Afu2g14730-T",54,30,34,25,20,39,19,34,19,41,53,66,39,37
"Afu2g14740-T",29,16,17,20,23,23,18,14,49,19,42,32,14,17
"Afu2g14750-T",11,4,4,9,6,9,5,3,10,4,3,3,2,3
"Afu2g14760-T",588,293,286,550,385,583,331,481,652,410,640,569,444,387
"Afu2g14770-T",98,33,63,60,43,111,19,41,39,42,74,42,16,25
"Afu2g14780-T",0,1,2,0,0,0,0,0,0,3,0,1,1,2
"Afu2g14790-T",60,22,31,37,20,109,1,2,5,3,3,5,6,2
"Afu2g14800-T",43,13,35,18,11,48,17,44,30,37,63,45,36,29
"Afu2g14810-T",390,130,194,201,151,279,78,177,215,172,329,156,137,149
"Afu2g14820-T",392,174,215,267,161,462,154,262,231,219,364,173,128,103
"Afu2g14830-T",213,91,143,149,95,245,62,87,88,66,133,43,34,16
"Afu2g14840-T",520,218,367,318,209,654,159,197,181,82,169,60,57,34
"Afu2g14850-T",52,6,30,19,13,45,7,18,18,20,41,87,36,64
"Afu2g14860-T",66,12,34,18,8,53,0,2,1,5,7,14,12,7
"Afu2g14870-T",9,1,3,5,1,7,5,1,2,3,4,2,0,0
"Afu2g14880-T",41,12,21,24,24,43,11,25,27,23,29,9,13,20
"Afu2g14890-T",20,19,19,19,13,22,4,8,14,11,24,13,5,7
"Afu2g14900-T",130,117,105,116,124,138,40,58,83,81,137,23,25,25
"Afu2g14905-T",349,95,164,165,126,307,54,96,145,69,177,167,174,115
"Afu2g14910-T",177,68,119,108,66,136,55,56,78,51,104,64,57,73
"Afu2g14920-T",553,277,426,436,253,605,190,231,233,185,312,273,232,226
"Afu2g14930-T",181,128,121,189,109,196,60,86,94,81,121,138,114,93
"Afu2g14940-T",96,105,97,107,83,160,38,36,39,58,94,58,37,34
"Afu2g14950-T",613,478,545,712,495,946,192,173,232,246,495,297,217,220
"Afu2g14960-T",545,279,415,449,285,603,210,290,319,355,536,364,277,285
"Afu2g14970-T",11286,5502,8086,8216,5809,14095,5318,6852,6222,5691,8566,8045,6971,5407
"Afu2g14980-T",87,52,66,70,61,121,40,44,48,61,84,33,21,40
"Afu2g14990-T",2046,1121,1510,1552,1054,2311,905,1304,1234,1021,1612,1129,882,774
"Afu2g15000-T",50,27,22,55,34,58,27,67,51,98,107,24,35,44
"Afu2g15010-T",3523,1937,2400,2686,1427,3676,1527,2364,2144,2333,3431,2239,1479,1306
"Afu2g15020-T",45,13,28,13,23,59,8,24,15,8,20,27,24,16
"Afu2g15030-T",286,100,230,157,100,278,61,117,98,73,125,82,91,57
"Afu2g15040-T",1358,433,948,795,629,1998,700,817,890,1097,1282,2732,2753,1826
"Afu2g15050-T",237,102,213,153,44,242,52,90,91,98,150,182,149,110
"Afu2g15060-T",91,38,52,80,45,77,47,57,51,49,100,118,61,92
"Afu2g15070-T",954,385,576,567,414,1007,293,405,499,315,518,349,323,264
"Afu2g15080-T",31,3,17,19,8,10,7,12,9,9,11,6,10,3
"Afu2g15085-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu2g15090-T",25,11,14,13,7,17,11,35,18,42,44,39,20,36
"Afu2g15100-T",6,2,5,8,3,7,2,3,7,3,9,8,4,3
"Afu2g15110-T",33,15,16,30,9,22,5,36,37,31,30,28,20,21
"Afu2g15120-T",0,1,1,2,1,1,0,0,1,0,1,0,0,0
"Afu2g15130-T",484,163,274,263,179,558,120,273,263,163,372,281,197,195
"Afu2g15140-T",102,38,52,78,47,119,44,63,66,25,39,128,107,75
"Afu2g15150-T",8,3,7,3,2,9,6,0,0,0,1,4,2,1
"Afu2g15160-T",121,65,67,85,74,131,38,44,50,39,92,32,35,29
"Afu2g15165-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu2g15170-T",6083,2496,3704,3856,2469,6627,1720,2368,2488,1824,2484,1671,1539,1240
"Afu2g15180-T",3563,1743,2302,2824,2322,4912,1906,2953,3198,1792,2373,469,373,276
"Afu2g15190-T",861,376,553,645,403,953,52,75,99,85,137,35,20,16
"Afu2g15200-T",402,252,201,305,210,437,51,57,63,52,103,35,30,26
"Afu2g15210-T",37,10,8,17,10,20,1,11,5,5,11,9,10,9
"Afu2g15220-T",40,10,29,29,25,59,13,43,55,54,62,57,35,54
"Afu2g15230-T",132,67,72,115,46,172,49,100,84,67,126,48,47,26
"Afu2g15240-T",207,76,180,94,67,359,7,11,14,31,26,44,29,51
"Afu2g15255-T",35,13,23,11,27,29,11,17,16,16,20,58,55,45
"Afu2g15270-T",0,0,0,0,1,0,0,0,0,0,1,1,0,0
"Afu2g15280-T",16,6,8,9,5,12,7,5,7,6,10,5,5,3
"Afu2g15290-T",1044,305,366,740,392,1601,122,156,218,169,257,105,61,82
"Afu2g15312-T",19,12,10,17,13,44,4,12,12,10,22,0,5,1
"Afu2g15320-T",1,0,0,1,0,1,0,1,0,0,6,0,0,0
"Afu2g15330-T",1,0,1,0,1,0,1,1,0,0,2,1,0,1
"Afu2g15340-T",82,46,51,59,65,172,19,21,24,23,63,8,18,10
"Afu2g15350-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu2g15360-T",98,64,89,63,73,174,25,46,43,49,99,45,35,19
"Afu2g15370-T",622,335,420,543,484,916,292,378,385,490,677,312,256,223
"Afu2g15380-T",59,12,23,44,22,63,8,7,15,10,22,48,45,34
"Afu2g15390-T",63,20,30,26,25,67,3,10,6,9,18,31,17,15
"Afu2g15400-T",0,0,1,2,4,2,0,0,1,0,2,0,0,3
"Afu2g15410-T",30,18,11,19,29,35,3,10,6,17,28,2,1,8
"Afu2g15420-T",100,63,68,103,89,175,33,47,34,28,55,18,21,7
"Afu2g15430-T",1842,1016,1243,1626,1074,2797,483,849,834,1557,1754,47,38,33
"Afu2g15440-T",94,32,44,69,42,153,25,37,34,39,60,14,14,6
"Afu2g15450-T",0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Afu2g15470-T",22,9,13,13,8,30,2,8,4,11,13,33,19,20
"Afu2g15480-T",340,239,175,329,273,457,89,159,206,340,636,283,216,172
"Afu2g15490-T",4284,2235,3155,3430,2366,5645,1411,1755,2153,1519,2171,1897,1620,1250
"Afu2g15500-T",15,3,4,2,1,7,3,2,4,0,6,6,1,3
"Afu2g15510-T",234,50,126,106,76,220,32,46,81,34,97,98,92,64
"Afu2g15520-T",51,36,51,44,28,74,34,47,31,35,53,27,18,22
"Afu2g15530-T",320,85,176,142,117,316,99,144,212,79,168,89,98,85
"Afu2g15540-T",1180,521,721,791,481,1306,738,1178,1090,701,911,156,129,95
"Afu2g15550-T",200,82,128,125,66,225,25,42,54,18,55,51,20,31
"Afu2g15560-T",173,49,93,97,78,165,20,40,58,33,58,43,24,28
"Afu2g15570-T",302,121,215,173,106,291,76,104,106,53,88,115,94,72
"Afu2g15580-T",738,512,436,750,480,1083,358,448,471,546,743,434,363,371
"Afu2g15590-T",354,103,226,204,93,237,65,212,132,302,339,345,311,368
"Afu2g15600-T",15,11,10,13,8,15,4,6,8,21,30,25,14,20
"Afu2g15610-T",179,82,129,134,82,187,69,239,189,320,432,254,187,196
"Afu2g15620-T",44,17,41,30,21,47,14,22,23,21,29,21,10,6
"Afu2g15630-T",51,28,32,48,30,71,17,27,36,33,34,8,8,6
"Afu2g15640-T",484,204,304,315,196,491,113,189,290,193,310,209,144,138
"Afu2g15650-T",1247,589,732,922,598,1789,743,1073,1012,789,1098,270,181,182
"Afu2g15660-T",1004,505,747,705,582,1299,299,392,471,257,425,161,139,96
"Afu2g15670-T",10,3,10,1,1,17,1,4,7,4,14,8,4,5
"Afu2g15680-T",112,58,86,80,64,180,83,122,169,76,82,10,10,10
"Afu2g15690-T",111,43,51,137,78,153,88,116,139,86,155,4,2,3
"Afu2g15700-T",110,57,73,76,43,143,44,67,58,52,80,44,38,39
"Afu2g15710-T",824,394,480,662,560,1007,267,343,461,307,467,179,123,123
"Afu2g15720-T",0,0,0,0,0,2,1,0,0,0,0,0,1,0
"Afu2g15730-T",109,39,76,58,28,103,22,24,26,20,43,26,15,22
"Afu2g15740-T",153,50,86,73,40,223,20,49,54,38,58,10,11,6
"Afu2g15750-T",174,74,106,99,60,155,27,41,30,43,59,62,38,44
"Afu2g15760-T",667,219,533,347,167,578,116,311,175,170,240,155,103,108
"Afu2g15770-T",866,346,615,598,333,1123,343,528,535,516,828,318,270,248
"Afu2g15780-T",44,19,34,22,16,41,9,25,28,64,80,69,45,46
"Afu2g15790-T",44,13,28,27,22,54,8,28,25,21,29,20,12,20
"Afu2g15800-T",427,175,298,298,202,582,219,293,307,221,326,379,258,283
"Afu2g15810-T",404,107,207,206,113,521,83,178,182,76,110,1,0,0
"Afu2g15820-T",215,84,151,128,99,244,64,90,110,76,108,79,60,26
"Afu2g15830-T",230,104,146,131,111,257,97,130,197,103,145,60,60,64
"Afu2g15840-T",291,114,255,146,101,278,71,134,125,144,220,223,133,161
"Afu2g15850-T",1584,430,951,868,600,1734,235,451,588,486,907,811,694,631
"Afu2g15860-T",224,89,163,103,71,254,110,120,153,77,139,149,107,77
"Afu2g15870-T",562,261,399,347,189,552,156,222,232,243,332,176,119,138
"Afu2g15880-T",512,245,405,374,199,615,340,378,352,225,330,198,185,141
"Afu2g15890-T",9,4,6,4,2,3,1,4,2,2,7,5,1,1
"Afu2g15900-T",12,8,9,12,17,24,12,17,12,19,23,113,74,41
"Afu2g15905-T",14,8,8,11,5,17,1,1,8,6,10,12,3,7
"Afu2g15910-T",82,32,67,53,27,77,14,35,20,43,56,18,16,20
"Afu2g15915-T",296,99,193,161,109,264,64,90,102,57,88,30,38,27
"Afu2g15920-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu2g15930-T",926,477,509,774,720,1026,314,410,548,320,813,245,209,225
"Afu2g15940-T",319,124,203,214,155,235,74,159,111,237,235,310,180,200
"Afu2g15950-T",674,159,355,261,250,714,448,530,656,621,837,860,774,601
"Afu2g15960-T",974,499,618,773,642,1257,471,741,772,620,1172,377,277,316
"Afu2g15970-T",1885,1250,1503,1687,1222,2339,920,1387,1205,1334,2165,2171,1833,1665
"Afu2g15980-T",73,20,23,40,33,34,4,17,23,16,52,59,21,24
"Afu2g15990-T",11,1,6,3,3,10,2,2,4,5,4,3,4,6
"Afu2g16000-T",56,16,42,29,11,36,9,13,16,17,25,13,9,8
"Afu2g16010-T",1069,500,647,718,442,1031,422,604,477,539,829,1189,832,745
"Afu2g16020-T",312,84,177,131,92,235,37,88,79,104,123,134,128,108
"Afu2g16030-T",89,40,61,54,44,80,22,52,59,76,103,98,90,83
"Afu2g16040-T",51,17,21,33,15,40,14,68,57,156,207,113,86,85
"Afu2g16050-T",18,2,6,8,9,8,4,10,21,28,47,36,25,43
"Afu2g16060-T",125,41,76,89,43,93,42,65,76,65,138,83,66,87
"Afu2g16070-T",37,14,30,16,16,34,3,14,10,15,14,12,11,11
"Afu2g16080-T",535,261,390,377,196,637,195,266,260,223,336,302,220,184
"Afu2g16090-T",56,19,39,19,11,32,20,69,58,130,195,57,28,73
"Afu2g16100-T",36,14,32,29,22,44,10,7,16,14,29,14,10,16
"Afu2g16110-T",12,10,4,7,14,26,0,0,1,10,10,5,2,0
"Afu2g16120-T",570,355,445,509,308,726,156,193,225,250,407,565,429,433
"Afu2g16130-T",14,2,8,8,7,5,3,3,3,3,2,4,2,2
"Afu2g16140-T",39,14,21,19,7,24,13,20,20,23,39,12,9,17
"Afu2g16150-T",34,9,25,16,11,18,12,33,34,32,76,71,40,63
"Afu2g16160-T",776,311,526,535,220,801,148,245,264,238,274,119,98,109
"Afu2g16170-T",158,54,73,62,56,158,33,107,134,73,152,114,75,55
"Afu2g16180-T",34,20,33,34,26,55,10,11,15,13,34,20,15,20
"Afu2g16190-T",1,2,0,2,1,4,0,2,0,1,0,0,0,0
"Afu2g16200-T",196,87,150,152,83,241,31,45,37,32,51,53,39,36
"Afu2g16210-T",150,160,87,232,151,179,106,133,173,100,188,70,65,70
"Afu2g16220-T",221,95,124,175,156,316,130,124,196,127,267,132,121,120
"Afu2g16230-T",3441,2040,2330,3156,3004,5110,2126,2589,2831,3177,5120,3578,2504,2719
"Afu2g16240-T",3670,1727,2563,2707,1709,4727,2419,3137,3170,1951,3015,1446,1245,1022
"Afu2g16250-T",129,63,103,88,66,153,22,40,50,42,67,30,16,23
"Afu2g16260-T",42,21,34,24,17,44,30,31,37,27,64,167,80,124
"Afu2g16280-T",108,68,81,89,37,146,48,81,59,80,73,96,65,78
"Afu2g16290-T",83,29,23,50,28,60,13,55,36,73,94,73,48,60
"Afu2g16300-T",31,28,31,38,31,41,38,33,51,43,63,32,22,29
"Afu2g16310-T",26,20,13,25,10,36,28,29,41,39,44,17,12,17
"Afu2g16320-T",15,8,12,17,11,34,2,7,6,8,10,12,10,4
"Afu2g16330-T",120,61,62,58,31,94,21,39,51,54,138,151,80,106
"Afu2g16340-T",16,7,5,11,4,19,13,58,108,76,202,83,24,70
