,baseMean,log2FoldChange,lfcSE,pvalue,padj
Afu6g02030,251.992881493174,-2.1612768161121,0.158408926533506,1.96773753517603e-43,9.24147933395422e-40
Afu4g12700,993.64710373575,-1.81391631412038,0.166008272988462,3.85671824998184e-29,1.20753848406932e-25
Afu8g05165,2233.43671328347,-2.27155354138769,0.227416488121593,7.61043580291615e-25,1.78712058741978e-21
Afu6g03500,91.8600607527061,-1.81972867382472,0.19405730849547,5.57159910094692e-22,9.95605832653599e-19
Afu5g09720,84.1379799725935,-3.98896491220949,0.439047153333266,1.14109598338932e-20,1.53118779599655e-17
Afu2g03190,49.5039510902862,-3.86460118587208,0.50615117039971,6.59252581095053e-16,4.7633534570968e-13
Afu4g08380,361.206047096216,-1.96005201909332,0.271885688781135,2.91356019361934e-14,1.71044193116665e-11
Afu3g12330,217.37288237216,-2.00193537908843,0.278316701865573,3.69678014883235e-14,2.04257976105778e-11
Afu3g02270,4362.3496956398,-2.7061332476282,0.389067993134545,1.42482577210817e-13,7.43521582078447e-11
Afu4g09700,289.659271893469,-1.82769992852315,0.26347434792856,1.88869878725464e-13,9.33713037299095e-11
Afu2g08820,123.645945053354,-2.53798343292181,0.368122121056603,3.34738816399271e-13,1.49723890592303e-10
Afu2g01310,49.4522510691086,-2.28286480641033,0.333633218583282,6.15303075951948e-13,2.62706445109848e-10
Afu2g13500,371.353784914635,-1.43119185510459,0.213727422290707,1.0809400024347e-12,4.23052893452879e-10
Afu1g04150,207.529478029825,-3.55074675574323,0.550523890992513,4.22021230963456e-12,1.52463285478452e-09
Afu2g14330,86.8950814232808,-3.63862635779785,0.56620965376548,6.57543401070797e-12,2.17900173745167e-09
Afu7g03900,315.454487372511,-3.57450473522608,0.559497521970032,6.72746198084728e-12,2.17900173745167e-09
Afu6g13350,136.829876553616,-1.98352784630562,0.310579700805758,8.15456605523096e-12,2.55319463189282e-09
Afu2g14390,84.422791172364,-1.46168562757433,0.229523664069023,1.57264973265072e-11,4.76512868993167e-09
Afu1g04140,87.0826849317155,-1.64893294701099,0.270330001203888,5.5010709650839e-11,1.61473623671978e-08
Afu1g17370,42.7405925742208,-5.49034607941381,0.914291015958208,9.35512355583761e-11,2.6628083503025e-08
Afu2g15200,386.646214238274,-1.15721966672407,0.192417291928351,1.13645718895423e-10,3.13963011054327e-08
Afu5g08180,66.2172001819761,-2.26492806311635,0.388778690883712,2.02594503295883e-10,5.28602824849508e-08
Afu3g07150,453.829433891619,-1.42124559261278,0.244737677143302,3.62450263483767e-10,8.51123831225755e-08
Afu5g00710,447.820496583119,-1.82353893976163,0.315718927892841,3.54538374541534e-10,8.51123831225755e-08
Afu7g01930,769.744640568452,-3.05440942709652,0.54661192482325,8.29483732316292e-10,1.73140904392154e-07
Afu3g08250,471.69136947682,-3.13033011105287,0.570866573375464,1.29235680411241e-09,2.52898072104748e-07
Afu5g07500,53.4850440164935,-2.41558821742123,0.438367516517174,1.44988486244498e-09,2.72375370258913e-07
Afu6g07370,185.578359033542,-2.10367224946339,0.38318313032388,1.89163363388747e-09,3.48394406335393e-07
Afu1g10110,39.742807504829,-1.41788917787196,0.254202223939705,2.09617700979279e-09,3.78642127941994e-07
Afu3g03260,76.3026584892907,-2.41314103815692,0.453886286237274,3.39801933005566e-09,5.8031991940387e-07
Afu3g07380,57.2238086586015,-2.91317141385596,0.54286358717679,3.75931198556192e-09,6.30557455006842e-07
Afu5g01242,34.1510309291295,-3.26522226202489,0.614108785531309,5.83156554881958e-09,9.60980617544952e-07
Afu2g02030,42.4852272548488,-2.02377836073056,0.384362986156098,7.01840301269768e-09,1.11735355081812e-06
Afu5g14740,182.489016064795,-2.86876975674732,0.555113826553981,8.01993261692584e-09,1.25552045117974e-06
Afu6g03210,128.071830558419,-2.0627256484103,0.397887057645797,1.00287640339919e-08,1.51935775114978e-06
Afu2g09680,297.457403786274,-1.30152502795704,0.249092148113835,1.05501552690582e-08,1.57297791178196e-06
Afu6g07030,105.304401091782,-3.99204358764605,0.786026575130721,1.47999298757018e-08,2.13870371265334e-06
Afu6g13630,56.3981005503734,-3.36223750315923,0.688986713845417,2.36738928657391e-08,3.36922538921042e-06
Afu3g11900,89.137773409422,-2.65762479465909,0.531704979452399,2.57263071737911e-08,3.55363534240323e-06
Afu6g12000,19.1305292086948,-4.26388264678962,0.848788152938404,2.64514401112033e-08,3.60084604296424e-06
Afu1g12190,151.102586676965,-1.00670002165859,0.198239736332217,3.1883968449513e-08,4.21811430487712e-06
Afu2g09430,32.4090906418288,-5.40270180462867,1.06996007380336,3.47966664174936e-08,4.47990366587105e-06
Afu5g01010,106.200993840671,-2.08787357948194,0.429008740843783,4.19950322710103e-08,5.19025444896842e-06
Afu6g05030,39.5781539169916,-2.58227762622122,0.526316973919833,5.55075308409027e-08,6.72508970080258e-06
Afu6g01870,660.312096012988,-2.11106724386523,0.446728889769703,8.75902064991348e-08,1.02841851205797e-05
Afu5g00980,69.2387979990106,-1.34854309598255,0.282698994108853,1.07165441085213e-07,1.21745994341505e-05
Afu4g01285,755.571141549111,-2.11039225055436,0.453568875975844,1.31242069320194e-07,1.43343808967975e-05
Afu2g14440,38.6849381376937,-2.118255071961,0.461442570253946,1.57271663688592e-07,1.6979916517551e-05
Afu3g15090,109.567044446414,-1.17169433964308,0.24899492030553,1.59720012552365e-07,1.70482963398224e-05
Afu1g04430,203.277298827412,-3.42603234328865,0.76124301006483,2.21561025648564e-07,2.26208990643148e-05
Afu5g10540,695.454964424729,-1.66239499030887,0.365320447633665,2.33125317253408e-07,2.35456570425942e-05
Afu4g14070,2727.71554242225,-2.50167203609354,0.57944786748648,5.49085802825264e-07,5.00734266595893e-05
Afu2g04880,51.6565613081894,-1.70750719222756,0.389792046605154,5.68103858544732e-07,5.13096109933718e-05
Afu8g06010,202.734816540837,-2.11916568465513,0.490327049441547,5.95044641589281e-07,5.32309935090297e-05
Afu3g02100,133.821055089244,-2.78576605285283,0.669323910545579,9.49766521229478e-07,7.96531869098972e-05
Afu4g00860,31.7308663651314,-3.87923202298172,0.972399289053332,1.12693887910531e-06,9.04729648840698e-05
Afu6g02170,142.29701877635,-1.83889976810807,0.442101125881552,1.20105966263574e-06,9.56063848401482e-05
Afu1g10180,25.8956111375923,-2.22151509132909,0.538724755951257,1.45743936939515e-06,0.000112210885219088
Afu5g11430,406.942501112843,-1.37467796154621,0.330767201566655,1.65587070203439e-06,0.000125215077831691
Afu4g14080,512.147728281351,-2.0257035292514,0.513852866825168,2.98154947967042e-06,0.000205924222518708
Afu5g12460,21.8619385666577,-3.38918655169393,0.845707043167885,3.32572407389624e-06,0.000228018439606623
Afu5g08800,509.900520251056,-2.40542145091246,0.618744569290014,3.40993782869857e-06,0.0002320981596012
Afu2g02990,281.81278449911,-2.72326943302334,0.710598227601901,4.03583737636282e-06,0.000268855464370042
Afu4g13050,134.617153266033,-2.36789257502579,0.620050986511307,4.21524696493586e-06,0.000274957046816962
Afu8g00420,65.2415946115376,-1.40483221140645,0.356108651634008,4.37523611684903e-06,0.000283197999303652
Afu2g14350,30.5048670458884,-2.17619880773219,0.566905517685999,4.71576719506135e-06,0.000299291900427103
Afu3g03550,1510.29842956397,-2.29057926790584,0.605843178782767,5.14774530280921e-06,0.000320217030657529
Afu5g06980,75.7474874156711,-1.14492310272964,0.29193032918816,5.26144832828853e-06,0.000325136737813251
Afu1g00990,45.4604081579325,-1.73508055279343,0.468151363793202,7.76464436511879e-06,0.000467521182830518
Afu8g06000,79.8957518647691,-2.13794093333506,0.579530993461931,8.01932964680843e-06,0.000479780658423386
Afu2g15290,2383.75100744325,-1.95991063471637,0.535262044595244,8.93086336148628e-06,0.000527594965751199
Afu3g03540,45.6071497926783,-2.60429147473977,0.722353805142445,9.57594954440068e-06,0.000555227741176269
Afu8g06430,11.877167690237,-2.48235864693162,0.662028305007063,9.86406067440914e-06,0.000564958060455641
Afu2g04870,79.2417221404881,-2.24147394119107,0.625979642118529,1.13061527948156e-05,0.000624698195304132
Afu1g14250,73.8950788583538,-1.04833418348521,0.291386316458161,2.13976027169187e-05,0.00106908341659584
Afu7g01740,67.6025102503852,-1.08717242425901,0.304437406225619,2.42081382663102e-05,0.00119677390913396
Afu6g13940,31.7677576588921,-2.70032798943053,0.796872903307818,2.4494697241532e-05,0.00120460047743304
Afu8g07340,279.992283867937,-1.0666179955684,0.30114535979784,2.4784650246215e-05,0.00121251156126405
Afu2g14860,38.3379080767053,-1.62678141459203,0.476020605181624,2.53416657713726e-05,0.00122698075562115
Afu3g07440,42.6603439054242,-2.75772571289502,0.830216165662106,3.01670149087254e-05,0.00139585601496383
Afu3g02220,49.4883691834464,-1.3442235220082,0.393033325177241,3.2078983729288e-05,0.0014556420008174
Afu2g13950,27.2350229558717,-1.56685730152411,0.46720937677177,3.64786686787802e-05,0.00163944562153006
Afu5g12470,40.2859021776585,-3.02554800292332,0.927311452685267,3.68455684016577e-05,0.00164023897628801
Afu8g06030,21.9567598543109,-2.82649684607357,0.904693797796228,3.68297442440952e-05,0.00164023897628801
Afu4g03080,23.241668458731,-2.30314253223121,0.694667560650101,3.88555039718778e-05,0.00171347299909788
Afu7g00420,113.802174184885,-1.98684162878962,0.615441588312301,4.33554200341833e-05,0.00189412772270272
Afu3g14580,14.4471161787752,-2.08590362262648,0.654277957363402,4.38828991398069e-05,0.00190829662787133
Afu5g12690,341.607625214344,-1.1901547622304,0.361086691900137,5.06266004673704e-05,0.00214205251436942
Afu1g03180,101.569870243257,-1.74768961455594,0.557077797076754,5.74293612350837e-05,0.00238687606230594
Afu3g08610,345.145563922264,-1.91297440992091,0.621048456554826,6.92654878478784e-05,0.00278038772373984
Afu3g01210,16.1405019875234,-2.15420866721384,0.712295327245017,8.13833963616628e-05,0.00321190857993739
Afu7g01580,110.180129141947,-1.22683095754506,0.391771648249201,9.02633025079742e-05,0.00350348429941075
