"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Afu5g14890",31061.1630390347,4.38290465951631,0.272259634202881,14.8318324916938,9.1208663037859e-50,4.52805407651451e-46
"Afu2g11180",828.549528142038,2.11562399806092,0.137551087395844,14.4910191924645,1.38078692907881e-47,3.42745835470588e-44
"Afu4g12700",782.854256599857,-2.27572339134153,0.161686901989222,-13.2817457429278,2.95425404848568e-40,5.86655768948286e-37
"Afu3g14030",1216.11583268265,3.61230022299799,0.256213640281475,12.626864364987,1.50142837163362e-36,2.12966890027861e-33
"Afu3g02270",3163.08242479599,-3.09441700635319,0.274793484389208,-10.4807749286317,1.05872636455776e-25,5.00575908271143e-23
"Afu2g13850",2447.47055660556,-2.30642789707969,0.222258434324723,-9.56455028443119,1.12690330781923e-21,3.29088910098151e-19
"Afu6g11390",9774.10583369641,2.17717405925446,0.228927814103464,9.24000610635044,2.46483170059472e-20,6.44034577768551e-18
"Afu4g09300",126.431577752992,2.69961755913458,0.278864753261562,8.61663685988961,6.89493708884936e-18,1.2447241882761e-15
"Afu7g05730",8332.69522272349,-4.34474909025364,0.511416427227975,-7.85706187338912,3.93248627111713e-15,5.00585335716949e-13
"Afu5g08640",3931.91838913407,-2.68310381274557,0.293805149882616,-7.78855806628273,6.77782222349911e-15,7.96736125750385e-13
"Afu6g13330",30022.9115098209,-3.96577587647791,0.536575518615916,-7.65128510720327,1.98980616636152e-14,2.12438552965629e-12
"Afu2g01170",5924.99014308866,-3.53609599861735,0.415894113610154,-7.54931986980261,4.3753707235988e-14,4.43296488924618e-12
"Afu6g03350",798.652312197413,2.76116051546722,0.329171602446494,7.40744568826249,1.28755186229949e-13,1.20250041114296e-11
"Afu3g08430",2059.65815796365,-2.62629319408563,0.307799199501802,-7.39784847194005,1.38408656040872e-13,1.27246254243502e-11
"Afu2g08040",1204.49407436431,2.16408767707422,0.324836777558516,6.41038030054234,1.45157084533996e-10,7.96278835545883e-09
"Afu7g00850",1006.05899161716,2.15940772711446,0.315204790044816,6.29175196517329,3.13902777567381e-10,1.6318014023385e-08
"Afu3g00870",837.551263736189,2.13240340575993,0.321107634805825,6.14522338093868,7.98510579731472e-10,3.81173632026624e-08
"Afu1g12620",725.173602911199,2.29289397476969,0.338326814592837,6.10048161295864,1.05749347050423e-09,4.90647320964325e-08
"Afu6g07520",1827.9492595481,-2.59455166625062,0.379484241068632,-5.88152995210579,4.0649136752956e-09,1.66779040834752e-07
"Afu6g07920",263.139082366671,2.09162744334205,0.347911983720954,5.84941091317712,4.93317012157192e-09,1.99111569662958e-07
"Afu8g01260",1688.76407101811,-2.00871000349103,0.333192214167965,-5.80672221544889,6.37077021373253e-09,2.47930857029654e-07
"Afu2g15290",1765.65358010778,-2.28406791684532,0.381474682766484,-5.66240860591118,1.49262879205578e-08,5.27413212680491e-07
"Afu2g15430",1256.81763520041,-3.18602544520758,0.463120567106863,-5.65851431565563,1.52688981924499e-08,5.37605993449769e-07
