"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Afu4g03370",2551.64466834123,-2.43615573156225,0.0602653183976393,0,0
"Afu1g04315",2297.55454987078,-2.99325431977597,0.0897819949382982,5.69641674425335e-244,1.13130836540872e-240
"Afu8g05540",725.356901220935,-2.40346712269976,0.0786328870116912,3.12935076666214e-206,3.45271701255056e-203
"Afu3g08620",879.808093853807,3.07638839499879,0.100877789049374,1.96204277724327e-205,1.94830847780257e-202
"Afu5g02920",671.839418126684,-2.34683500797597,0.0790932197735831,1.77816212851495e-194,1.1771433290769e-191
"Afu6g13790",4873.71919551039,-3.23928482018829,0.109764135842644,2.08554547215612e-192,1.29164247480181e-189
"Afu6g14320",2216.79717790096,-2.64247713859523,0.0895260612535264,2.21127110489736e-192,1.29164247480181e-189
"Afu3g14470",1871.69748896344,-2.38696785603933,0.0811752219463686,6.06622386392323e-191,3.34653349826432e-188
"Afu1g12250",13163.4852578219,-3.94633364961768,0.13447223155144,2.3162195517461e-190,1.21052948151783e-187
"Afu1g15760",773.387068581082,2.38550019148264,0.081644299719665,2.81939413354532e-188,1.39982918730525e-185
"Afu2g10620",1017.86853738907,2.03595364132686,0.0697895512398471,1.00760111283661e-187,4.54794502293981e-185
"Afu2g14560",623.408921739566,-2.2908991485255,0.0793058259445587,1.20745817811511e-184,4.79602388347322e-182
"Afu4g11280",1727.61832219551,-4.28640667296397,0.148895825109331,1.6907944324085e-183,6.21836619030238e-181
"Afu5g12190",2967.12163807057,-2.35709200286746,0.0819317620637811,6.86264947311394e-183,2.43378961671505e-180
"Afu6g04460",1913.62092735856,-2.77648893044057,0.0965427725897742,8.67655554171586e-183,2.97097229411167e-180
"Afu4g06400",2231.75643803959,-2.3118882850513,0.0816142320167515,2.74790180681206e-177,8.26868634595267e-175
"Afu3g14445",1653.50566195336,-2.94647030839363,0.105371765142466,4.09423278033658e-173,1.16159232882121e-170
"Afu6g07760",4465.04065795067,-2.01045944766573,0.0719434169896351,1.57846919965705e-172,4.23627004124175e-170
"Afu1g06110",2562.98815737597,-2.48232278046699,0.0889003526936169,1.90267157339203e-172,4.97198124310076e-170
"Afu5g07890",5433.12487897346,-2.46259477760287,0.0882223347708055,3.30085840892255e-172,8.40449333348741e-170
"Afu2g12560",929.673270753832,-2.2806448470472,0.0820058973408185,4.52293738845176e-171,1.12281920668315e-168
"Afu5g03340",6000.35939797244,-3.01470199987923,0.109234197574927,1.30572949911528e-168,3.09712377704268e-166
"Afu8g00790",2005.2995455312,-2.50171528946158,0.0908195046998668,7.74895727683977e-168,1.74879876725043e-165
"Afu2g09530",3613.40003634936,-3.01024080882841,0.10957460000883,3.9528016580367e-167,8.72251565873432e-165
"Afu4g04690",763.463494325019,2.41535865384113,0.0881465711060393,5.27890006393143e-166,1.13955386162694e-163
"Afu1g07210",832.373787424042,-2.6946481746587,0.100559913879268,4.07083468967383e-159,7.77372855162714e-157
"Afu5g07720",742.09692537148,-2.66346732849159,0.0999973751343099,3.60271199748159e-157,6.74998681792305e-155
