"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Afu2g11260",1554.68631283459,5.14447280427632,0.142207205609232,1.06263934068327e-288,1.0390487473201e-284
"Afu5g12950",378.833436353551,-3.50322452215311,0.10539002554152,8.41924987371261e-244,4.1161712632581e-240
"Afu1g05870",872.754024404383,-2.40545417105173,0.0749087776331319,4.89754112305812e-227,1.59627190337541e-223
"Afu4g03370",2588.8418449286,-2.37661118854074,0.0830872817618881,8.39755246351844e-181,2.05278169970708e-177
"Afu2g12560",931.728343400065,-2.311411018563,0.0822372396313747,8.61350408270427e-175,1.68445685841365e-171
"Afu5g13000",478.246311917603,4.24370366396623,0.16170653297914,7.50741864421851e-154,1.22345899171948e-150
"Afu4g08250",1221.06606679455,-2.76967727892715,0.109794029542968,1.9885158116231e-141,2.7776725151501e-138
"Afu4g10010",5579.89208986845,-2.92721629791814,0.123065065065501,5.45785982399346e-126,6.670869169876e-123
"Afu3g06680",709.135511836725,-2.01103312636131,0.0855447985280199,5.96379397951177e-123,6.47933083685179e-120
"Afu4g11680",553.268659480952,-2.56927776156863,0.112018143132308,3.52891614091645e-117,3.4505742025881e-114
"Afu5g14210",4393.16726734396,-4.35061972809805,0.190061424665634,5.71414916696081e-117,5.07935914132207e-114
"Afu4g04690",893.370515544573,2.38705872156682,0.105406326397669,3.14341472705311e-114,2.56135910009378e-111
"Afu1g16990",390.557283954395,-2.82063640261293,0.127524308182527,9.02270009368809e-109,6.30171153686301e-106
"Afu7g01820",262.155409604868,-3.56794230585309,0.16218354335084,8.78314554426033e-109,6.30171153686301e-106
"Afu3g01440",1187.48147044387,-2.53217813313761,0.115031392789343,2.49490375347542e-108,1.62634459343217e-105
"Afu2g09480",618.670476068832,-3.08329981130423,0.141317302528084,1.1035236819795e-106,6.7439091014972e-104
"Afu1g12060",207.204917502502,-2.61442487078637,0.121080162402812,4.27730744018696e-104,2.46020659706753e-101
"Afu1g01600",1679.01467194836,-4.03759617136226,0.189004146004248,2.46065952996846e-102,1.33668493800175e-99
"Afu1g02800",616.698104399048,-1.56691870500089,0.0732417164133574,4.52627452481802e-102,2.32936380545635e-99
"Afu1g12250",14105.3604916957,-3.99762323285879,0.191356015285392,6.5172560074331e-98,3.18628646203404e-95
"Afu3g10760",5434.10571967688,-3.87407953701106,0.186473538531498,7.80267411528436e-97,3.6330736904405e-94
"Afu8g01910",525.939949469964,-3.35393119299756,0.1627399157743,1.10287209499105e-95,4.9017651567375e-93
"Afu1g03730",1006.74466043435,-3.63664428000383,0.176417597291955,1.52143873133969e-95,6.46809909349541e-93
"Afu5g08235",2490.65072609366,-3.25724611609869,0.158381775101494,5.82334588433411e-95,2.37252816904245e-92
"Afu7g03850",722.021188705192,-3.46674466625876,0.168832539186659,7.11352692050094e-95,2.78224264914633e-92
"Afu4g03630",909.902580437897,3.01711355941749,0.147508857928939,3.4965851749367e-94,1.31498499386658e-91
"Afu2g15700",610.125019051409,2.1816414718041,0.107111131191879,3.02415319379126e-93,1.09519147884781e-90
"Afu7g01520",1170.60931356757,-2.32946250422564,0.114501602705921,7.24763389628874e-93,2.53097729421112e-90
"Afu3g14560",362.784534532075,-4.2530841940345,0.21046664063549,2.89242212227482e-92,9.75244948675971e-90
"Afu4g06870",1302.55318151387,1.8305064880273,0.0904230418576967,8.02780046673351e-92,2.61652776545734e-89
"Afu6g08320",1107.42461031291,-3.75378496752613,0.187223361630598,1.59654011836778e-90,5.03579654109682e-88
