"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Afu7g05500",10648.2447586517,-5.92260489483532,0.518567104568368,-11.4210964071179,3.28068762380202e-30,3.08351829761152e-26
"Afu1g04870",1716.41046253747,5.37328383902448,0.492433140095083,10.9117023236636,1.01340629891262e-27,4.76250290173985e-24
"Afu2g11260",3902.07945076142,5.27891419836879,0.493607524206401,10.694557800463,1.07933257487636e-26,2.66839752036655e-23
"Afu7g04950",476.667358289616,-5.48297027042034,0.512913929050059,-10.6898447475877,1.13560911601938e-26,2.66839752036655e-23
"Afu7g05490",6181.43316061738,-6.31096018302314,0.605466406259819,-10.4233036181283,1.94091843025333e-25,3.64853846519021e-22
"Afu5g14210",11031.6781267736,-4.11693989602583,0.407468749669065,-10.1036948216753,5.31992086582642e-24,8.33365603631709e-21
"Afu3g06530",2209.7982723003,4.34995267996221,0.439517318382579,9.89711326045128,4.28464000769878e-23,5.75304734748012e-20
"Afu6g00510",3523.9681254711,-4.21380749926692,0.426957700571633,-9.86937931702663,5.65132126187463e-23,6.63959606754496e-20
"Afu3g12760",5930.81299333733,-5.16092306950529,0.524052512773607,-9.84810289753316,6.98499255374225e-23,7.29466055695816e-20
"Afu3g12180",15738.3793379434,-3.90998851921863,0.400812462967461,-9.7551570384578,1.75329110545575e-22,1.64791831001786e-19
"Afu5g13000",1206.15752767903,4.43915950951425,0.47955655434224,9.25680082842993,2.10649067935528e-20,1.79990053593275e-17
"Afu5g13750",48508.3432098881,-3.79305225476486,0.413909109078702,-9.16397385698423,5.00205894032802e-20,3.91786266501192e-17
"Afu1g15440",4251.43574378936,-4.19620785119888,0.4618913673394,-9.08483714551757,1.03854039349629e-19,7.50864704497817e-17
"Afu1g01600",4364.8405145077,-3.83798359082454,0.423976989918341,-9.05233935351951,1.39937629567906e-19,9.39481271649108e-17
"Afu3g10760",13409.7566575111,-3.60422042557938,0.400970199295526,-8.98874886939659,2.50060687543266e-19,1.5668802681461e-16
"Afu3g14560",955.008111241074,-4.09208531383856,0.469111361223382,-8.72305736353715,2.70789005616929e-18,1.59071616487095e-15
"Afu1g01610",1618.06099602457,-3.65446119935378,0.422909194390627,-8.64124319789152,5.56046129124003e-18,3.07428092213912e-15
"Afu1g13550",10703.2384071986,-3.69047308729556,0.427607915418484,-8.63050695327711,6.10806391206274e-18,3.18942737274876e-15
"Afu1g14300",9489.22375474704,-4.11342270982608,0.482807741271979,-8.51979444030679,1.59836756417449e-17,7.90687196614529e-15
"Afu2g01590",2671.7176503242,-3.73837168251771,0.446266733809009,-8.37698936375939,5.42987521109019e-17,2.55176985545183e-14
"Afu6g08320",2696.45424925607,-3.46783186414843,0.414492876995468,-8.36644501417173,5.93826123118752e-17,2.65779606247293e-14
"Afu1g03730",2474.01504270484,-3.37008412013344,0.404150449415896,-8.33868705330923,7.51199274526875e-17,3.20932817330823e-14
"Afu3g12190",31876.0143500197,-4.18445250892198,0.504092805323533,-8.30095661896295,1.0327640243147e-16,4.07710577290829e-14
"Afu3g12690",3604.4771811101,3.36528118724241,0.405455341634129,8.30000456691267,1.04107392860729e-16,4.07710577290829e-14
"Afu2g05670",1214.00099722064,3.48857333160994,0.421134364890333,8.28375364835968,1.1935237418617e-16,4.32998231298445e-14
"Afu4g02805",1620.87767022641,-3.39969375929217,0.410425985754059,-8.2833297044924,1.19778210594314e-16,4.32998231298445e-14
"Afu6g12160",9743.19189359815,-4.84043770038388,0.591676597068584,-8.18088415929489,2.81768683100527e-16,9.80868093504391e-14
"Afu3g15040",430.705105855309,-5.22143393357734,0.639995163684625,-8.15855217329477,3.39064254740274e-16,1.1085344767155e-13
"Afu6g11110",433.767793307446,4.58719601991756,0.562476008669232,8.15536298298386,3.48132705255442e-16,1.1085344767155e-13
"Afu4g00660",9493.00147404684,-3.32909581648681,0.408307547103725,-8.15340260081233,3.53825239934728e-16,1.1085344767155e-13
"Afu8g01600",627.221777267232,-5.06721817167452,0.626869474630853,-8.08337042517259,6.30008893459876e-16,1.91014631923528e-13
"Afu1g06810",3162.90183371337,4.04018842955704,0.501575895071903,8.05498922347108,7.94858115981344e-16,2.33464732253395e-13
"Afu5g00840",1438.02828893302,-4.27629914890743,0.53192611967365,-8.03927273120381,9.03732335771611e-16,2.57399400724769e-13
"Afu5g01880",6697.47041598557,3.70335099827002,0.461309589829957,8.02790811184982,9.91486944247913e-16,2.74087817323122e-13
"Afu1g15780",2313.40268550721,3.61913744433343,0.451020710535548,8.02432651049665,1.02084448382265e-15,2.7414049438426e-13
"Afu1g11220",78123.6542473736,-3.20698401108667,0.400410479121045,-8.00924096224062,1.15418569921504e-15,3.01338649636726e-13
"Afu4g03400",9930.38196417841,-3.28149126214215,0.410087083860275,-8.00193761591435,1.2247643683952e-15,3.11123251312067e-13
"Afu3g14260",7468.2125136474,-3.45811889959575,0.432873318001981,-7.98875503705666,1.36308236610212e-15,3.37147662078784e-13
"Afu2g12710",209.258845983262,-4.31003980997302,0.541007462931691,-7.9666919687524,1.62978230789552e-15,3.9277753620282e-13
"Afu5g03800",23975.2685798902,-3.07002844344401,0.387267628538434,-7.92740786269806,2.23767421577997e-15,5.25797498852899e-13
"Afu5g09180",1096.50094306064,-3.91015808010217,0.494934056741723,-7.90036172867903,2.78095183819062e-15,6.37516251881795e-13
"Afu7g05580",46415.34777891,-3.38483253005223,0.42940714799141,-7.8825714613394,3.20711486658878e-15,7.17706491215902e-13
"Afu5g03330",2695.42583853335,-3.13213626733679,0.397562942692986,-7.8783405870792,3.31757400804687e-15,7.2515995585192e-13
"Afu3g15010",260.775685217092,-4.0199438825827,0.510729024062594,-7.87099164759829,3.51841130527502e-15,7.51580633142725e-13
"Afu6g03010",387.510342896786,4.02361701538596,0.513145424121343,7.84108524844703,4.46669058643452e-15,9.32942773819958e-13
"Afu1g02980",31067.5127481428,-3.45581111548623,0.440907013552686,-7.83795904637675,4.57928305010476e-15,9.35666986694232e-13
"Afu4g11280",4228.9866216533,-3.98729193299453,0.509639294854088,-7.8237529430224,5.12713830048268e-15,1.02531857204759e-12
"Afu3g03280",20054.5518990892,-4.44711465758532,0.569908781815936,-7.80320430124836,6.03547221353775e-15,1.18182090281336e-12
"Afu4g03460",86947.4211977817,-3.64232491091799,0.468533471680274,-7.77388411089551,7.6115380397835e-15,1.43964712512563e-12
"Afu6g14442",365.053435236637,-3.55496466750175,0.457341642017993,-7.77310513824125,7.65851220941391e-15,1.43964712512563e-12
"Afu7g05350",2132.59273496531,-3.34562219398637,0.433124140527262,-7.72439557378075,1.12385329498016e-14,2.07119551363108e-12
"Afu5g01160",360.688864196744,-3.71344216564572,0.481358211395783,-7.71450881637178,1.21449040154431e-14,2.17968057640763e-12
"Afu6g13380",4406.8261369341,-4.02827685111243,0.522272196975875,-7.71298352552072,1.22909959090972e-14,2.17968057640763e-12
"Afu2g17660",862.738710432917,-3.57930922630005,0.46574114090016,-7.68519014528574,1.52769923215107e-14,2.65904538573849e-12
"Afu4g11800",2976.43371303164,-3.1672801458056,0.413601743509532,-7.65780172716465,1.89142590185367e-14,3.23227491845867e-12
"Afu1g12250",38502.9914144051,-3.88763955965684,0.507860711552211,-7.65493268375648,1.93413529969344e-14,3.24623887175333e-12
"Afu5g12950",989.149780801763,-3.29990829959319,0.431673803732697,-7.64444882005529,2.09842253481676e-14,3.46018831662153e-12
"Afu7g01820",663.466944431364,-3.32027685950589,0.434842401118094,-7.6355867113432,2.24794351026093e-14,3.64283121602456e-12
