target_id	length	eff_length	est_counts	tpm
Afu1g00100-T	621	322	0	0
Afu1g00110-T	429	130	0	0
Afu1g00120-T	516	217	178	124.377
Afu1g00130-T	750	403.406	4	1.50347
Afu1g00140-T	1197	761.78	9.18286	1.82779
Afu1g00150-T	1488	1189	0	0
Afu1g00160-T	384	85.0011	0	0
Afu1g00170-T	369	70.019	5	10.8276
Afu1g00180-T	732	418.089	1	0.362668
Afu1g00200-T	1197	898	0	0
Afu1g00210-T	1254	842.827	3	0.539711
Afu1g00220-T	2151	1624.98	354	33.032
Afu1g00230-T	2280	1944.17	168	13.1025
Afu1g00240-T	297	15.5846	8	77.8348
Afu1g00250-T	2280	1846.04	68	5.58528
Afu1g00270-T	516	217	0	0
Afu1g00280-T	1845	1546	0	0
Afu1g00290-T	831	463.489	3	0.981432
Afu1g00300-T	990	720.584	2	0.420847
Afu1g00310-T	1293	950.969	5	0.797227
Afu1g00320-T	639	340	0	0
Afu1g00330-T	195	4.11003	0	0
Afu1g00340-T	393	94.0001	0	0
Afu1g00350-T	1464	1056.46	2	0.287047
Afu1g00390-T	2166	1647.83	4	0.368067
Afu1g00400-T	501	202	0	0
Afu1g00410-T	2550	2036.25	3.7119	0.276403
Afu1g00420-T	1614	1229.17	5.54817	0.684408
Afu1g00440-T	1533	1133.83	153.13	20.4782
Afu1g00450-T	1293	967.718	22.2173	3.48114
Afu1g00460-T	1524	1240.11	12.8663	1.57315
Afu1g00470-T	1500	1162.06	45.3272	5.91438
Afu1g00480-T	1092	733.638	319.999	66.1371
Afu1g00490-T	1431	1069.37	2	0.283582
Afu1g00500-T	1215	908.939	851	141.962
Afu1g00510-T	1740	1360.94	2470	275.192
Afu1g00520-T	2409	2110	0	0
Afu1g00530-T	606	333.35	93	42.3019
Afu1g00540-T	2430	1891.08	51.4863	4.12819
Afu1g00550-T	1419	937.363	60	9.70558
Afu1g00560-T	1293	854.754	58	10.2888
Afu1g00570-T	978	597.947	152	38.5442
Afu1g00580-T	1590	1237.62	24.6501	3.02
Afu1g00590-T	3789	3034.02	3.87028	0.19342
Afu1g00610-T	1812	1394.05	17.1455	1.86488
Afu1g00620-T	1242	943	0	0
Afu1g00630-T	3018	2641.35	42	2.41103
Afu1g00640-T	1110	739.629	70	14.3504
Afu1g00650-T	1374	1016.55	43	6.41384
Afu1g00660-T	1200	814.657	1	0.186125
Afu1g00670-T	216	4.87155	0	0
Afu1g00680-T	873	569.697	2	0.53231
Afu1g00690-T	330	33.6633	11	49.5467
Afu1g00700-T	4089	3689.77	112	4.60253
Afu1g00710-T	543	244	1	0.621425
Afu1g00720-T	579	280	0	0
Afu1g00730-T	1644	1345	0	0
Afu1g00740-T	1020	721	0	0
Afu1g00750-T	1617	1150.74	100	13.1765
Afu1g00760-T	357	58.1281	86	224.332
Afu1g00770-T	561	262	16	9.2597
