target_id	length	eff_length	est_counts	tpm
Afu1g00100-T	621	322	0	0
Afu1g00110-T	429	130	0	0
Afu1g00120-T	516	217	45	42.4927
Afu1g00130-T	750	451	0	0
Afu1g00140-T	1197	786.234	3.45455	0.900331
Afu1g00150-T	1488	1091.26	1	0.187773
Afu1g00160-T	384	85.0011	0	0
Afu1g00170-T	369	70.019	0	0
Afu1g00180-T	732	433	0	0
Afu1g00200-T	1197	898	0	0
Afu1g00210-T	1254	832.384	3	0.738516
Afu1g00220-T	2151	1659.17	150	18.5252
Afu1g00230-T	2280	1943.48	253	26.6749
Afu1g00240-T	297	15.5846	3	39.4447
Afu1g00250-T	2280	1846.94	26	2.88458
Afu1g00270-T	516	217	0	0
Afu1g00280-T	1845	1546	0	0
Afu1g00290-T	831	532	0	0
Afu1g00300-T	990	726.057	10	2.82222
Afu1g00310-T	1293	949.872	4	0.862893
Afu1g00320-T	639	340	0	0
Afu1g00330-T	195	4.11003	0	0
Afu1g00340-T	393	94.0001	0	0
Afu1g00350-T	1464	1165	0	0
Afu1g00390-T	2166	1626.73	2	0.251928
Afu1g00400-T	501	202	0	0
Afu1g00410-T	2550	1999.37	1.65051	0.169155
Afu1g00420-T	1614	1315	0	0
Afu1g00440-T	1533	1137.88	22.4323	4.0396
Afu1g00450-T	1293	949.902	5	1.07858
Afu1g00460-T	1524	1230.95	4.24712	0.706993
Afu1g00470-T	1500	1167.01	39.4857	6.9331
Afu1g00480-T	1092	793	0	0
Afu1g00490-T	1431	1084.19	1	0.188997
Afu1g00500-T	1215	930.414	5661	1246.75
Afu1g00510-T	1740	1361.01	10896	1640.47
Afu1g00520-T	2409	1852.76	6	0.663581
Afu1g00530-T	606	325.957	40	25.1456
Afu1g00540-T	2430	1931.52	49.9474	5.29877
Afu1g00550-T	1419	965.459	38	8.06514
Afu1g00560-T	1293	911.691	97	21.8015
Afu1g00570-T	978	580.592	32	11.2938
Afu1g00580-T	1590	1289.43	14.9805	2.38063
Afu1g00590-T	3789	2971.31	1.72349	0.118856
Afu1g00610-T	1812	1355.2	3.59094	0.54296
Afu1g00620-T	1242	859.97	5	1.19138
Afu1g00630-T	3018	2679.13	30	2.29451
Afu1g00640-T	1110	740.496	29	8.02486
Afu1g00650-T	1374	1031.72	50	9.93045
Afu1g00660-T	1200	901	0	0
Afu1g00670-T	216	4.87155	0	0
Afu1g00680-T	873	574	0	0
Afu1g00690-T	330	33.6633	1	6.08703
Afu1g00700-T	4089	3682.79	42	2.33687
Afu1g00710-T	543	244	0	0
Afu1g00720-T	579	280	1	0.73182
Afu1g00730-T	1644	1384.08	1	0.148047
Afu1g00740-T	1020	721	0	0
Afu1g00750-T	1617	1153.37	126	22.3853
Afu1g00760-T	357	58.1281	711	2506.37
Afu1g00770-T	561	262	0	0
Afu1g00780-T	648	349	0	0
